timestamp,tram_id,station_id,passenger_load,weather,incident_flag,delay_minutes
2026-01-01 19:20:00,T07,S20,64,clear,0,1.38
2026-01-01 19:31:00,T08,S04,73,clear,0,1.38
2026-01-01 18:25:00,T08,S12,179,clear,0,2.82
2026-01-01 12:54:00,T09,S17,108,clear,0,0.54
2026-01-01 18:51:00,T03,S12,298,clear,0,3.4
2026-01-01 06:31:00,T05,S02,109,clear,0,1.97
2026-01-01 22:05:00,T03,S14,55,clear,0,0.41
2026-01-01 18:35:00,T04,S14,64,clear,0,2.18
2026-01-01 16:59:00,T09,S08,131,clear,0,1.55
2026-01-01 06:04:00,T09,S15,138,rain,0,2.41
2026-01-01 14:52:00,T08,S11,57,clear,0,1.4
2026-01-01 08:20:00,T09,S07,121,clear,0,2.39
2026-01-01 06:38:00,T07,S05,93,clear,0,0.98
2026-01-01 22:08:00,T03,S01,139,clear,0,1.46
2026-01-01 22:18:00,T09,S15,139,clear,0,1.54
2026-01-01 13:04:00,T04,S04,72,clear,0,1.35
2026-01-01 14:37:00,T04,S13,91,rain,0,2.33
2026-01-01 08:09:00,T04,S11,274,clear,0,3.86
2026-01-01 21:12:00,T09,S20,52,clear,0,0.79
2026-01-01 16:23:00,T03,S10,73,rain,0,1.99
2026-01-01 12:21:00,T08,S09,101,clear,0,1.12
2026-01-01 16:38:00,T08,S17,51,clear,0,1.73
2026-01-01 11:24:00,T05,S01,68,clear,0,2.48
2026-01-01 08:22:00,T07,S04,233,clear,0,2.73
2026-01-01 19:43:00,T08,S05,147,clear,0,1.0
2026-01-01 17:43:00,T03,S20,236,clear,0,3.42
2026-01-01 19:23:00,T03,S20,120,clear,0,1.81
2026-01-01 12:52:00,T01,S11,99,rain,0,2.12
2026-01-01 07:23:00,T03,S07,139,rain,0,3.43
2026-01-01 18:35:00,T07,S09,257,rain,0,4.65
2026-01-01 15:27:00,T08,S01,124,rain,0,2.63
2026-01-01 07:32:00,T09,S03,142,clear,0,3.59
2026-01-01 20:56:00,T02,S03,90,clear,0,0.83
2026-01-01 11:40:00,T08,S08,82,clear,0,1.49
2026-01-01 05:37:00,T06,S14,100,rain,0,2.21
2026-01-01 21:59:00,T01,S05,110,clear,0,2.23
2026-01-01 07:37:00,T01,S17,270,clear,0,4.0
2026-01-01 08:10:00,T03,S01,262,clear,0,2.73
2026-01-01 14:25:00,T03,S18,107,rain,0,2.52
2026-01-01 07:34:00,T07,S02,283,rain,0,3.86
2026-01-01 09:05:00,T01,S09,97,clear,0,0.72
2026-01-01 18:47:00,T08,S13,299,clear,0,3.44
2026-01-01 13:31:00,T04,S01,65,clear,0,1.53
2026-01-01 14:34:00,T07,S19,111,clear,0,1.3
2026-01-01 16:21:00,T06,S17,119,clear,0,1.98
2026-01-01 17:53:00,T05,S07,158,clear,0,2.44
2026-01-01 15:55:00,T03,S08,62,rain,0,2.15
2026-01-01 06:56:00,T03,S05,111,rain,0,1.96
2026-01-01 15:33:00,T05,S01,50,clear,0,1.59
2026-01-01 18:09:00,T07,S05,142,clear,0,2.99
2026-01-01 16:36:00,T03,S05,78,clear,0,1.38
2026-01-01 10:40:00,T10,S16,88,clear,0,2.44
2026-01-01 18:21:00,T05,S10,229,clear,0,4.28
2026-01-01 13:35:00,T05,S13,65,clear,0,1.51
2026-01-01 16:29:00,T01,S20,84,clear,0,1.84
2026-01-01 22:46:00,T03,S01,93,clear,0,1.54
2026-01-01 17:33:00,T02,S19,84,clear,0,3.48
2026-01-01 15:16:00,T02,S19,56,clear,0,1.01
2026-01-01 17:08:00,T08,S04,70,rain,0,4.24
2026-01-01 21:17:00,T03,S17,145,clear,0,0.56
2026-01-01 09:38:00,T05,S12,138,clear,0,1.34
2026-01-01 16:38:00,T09,S13,68,clear,0,3.13
2026-01-01 06:15:00,T09,S19,58,clear,1,9.71
2026-01-01 11:35:00,T05,S05,74,clear,0,1.8
2026-01-01 14:28:00,T05,S16,88,clear,0,1.54
2026-01-01 17:12:00,T05,S03,284,clear,1,11.8
2026-01-01 20:12:00,T10,S12,56,clear,0,1.94
2026-01-01 05:28:00,T02,S05,86,clear,0,1.38
2026-01-01 13:30:00,T01,S20,120,rain,0,1.84
2026-01-01 06:30:00,T06,S07,123,rain,0,2.09
2026-01-01 15:52:00,T03,S13,141,clear,0,1.82
2026-01-01 11:26:00,T07,S01,126,clear,0,1.77
2026-01-01 20:33:00,T01,S01,55,rain,1,6.47
2026-01-01 17:43:00,T05,S11,278,clear,0,4.0
2026-01-01 05:46:00,T09,S18,98,clear,0,2.1
2026-01-01 22:15:00,T07,S11,123,rain,0,3.11
2026-01-01 16:15:00,T08,S08,139,clear,0,1.1
2026-01-01 20:28:00,T04,S17,133,clear,0,0.83
2026-01-01 19:42:00,T03,S06,118,clear,0,2.09
2026-01-01 19:12:00,T01,S11,75,clear,1,10.48
2026-01-01 06:44:00,T01,S02,148,clear,0,1.61
2026-01-01 17:50:00,T05,S05,230,clear,0,3.46
2026-01-01 06:22:00,T10,S10,66,clear,0,1.08
2026-01-01 19:40:00,T04,S01,81,clear,0,1.03
2026-01-01 12:17:00,T07,S02,52,clear,0,2.53
2026-01-01 15:23:00,T09,S17,96,clear,0,2.38
